,County,Area,Tract,GEOID,day,night,DevelopedArea,Pop,State,Black,Asian,White,Hispanic,nonUS,Edu,SP,Age,Income,Housing
56115,Philadelphia County Pennsylvania,3059179.88339834,Census Tract 383,42101038300,12.8183175935454,4.54280292191353,3061442.77275965,3820,PA,0.346596858638743,0.0,0.0921465968586387,0.651570680628272,0.0335078534031414,0.748407643312102,0.710428305400372,0.0243455497382199,10083.0,730.0
56116,Philadelphia County Pennsylvania,2562554.56588037,Census Tract 384,42101038400,2.01120615820497,1.60973523952194,920465.194525506,2456,PA,0.103013029315961,0.0240228013029316,0.830211726384365,0.0285016286644951,0.0093648208469055,0.361065796628602,0.0851528384279476,0.102605863192182,45577.0,1425.0
56117,Philadelphia County Pennsylvania,1319854.73079183,Census Tract 385,42101038500,1.91038206173287,2.39081083721838,1073662.5890491,1934,PA,0.063081695966908,0.0563598759048604,0.845915201654602,0.0274043433298862,0.0346432264736298,0.097212780421482,0.172727272727273,0.133402275077559,51890.0,1529.0
56118,Philadelphia County Pennsylvania,3389090.56219187,Census Tract 386,42101038600,1.83618539203794,2.32134019467627,1656063.49442785,1384,PA,0.147398843930636,0.0101156069364162,0.823699421965318,0.0267341040462428,0.0166184971098266,0.109677419354839,0.12,0.0621387283236994,53393.0,1875.0
56119,Philadelphia County Pennsylvania,2086150.73563213,Census Tract 387,42101038700,2.58483295773138,2.08938951265645,1489430.73178615,2358,PA,0.152671755725191,0.0441051738761662,0.763358778625954,0.0339270568278202,0.0152671755725191,0.175619834710744,0.111111111111111,0.0614927905004241,28944.0,1692.0
56120,Philadelphia County Pennsylvania,1403385.14184514,Census Tract 388,42101038800,2.59204745029389,2.52422877261146,1404353.2821021,3763,PA,0.396757905926123,0.0406590486314111,0.533882540526176,0.024448578262025,0.0308264682434228,0.18656207366985,0.327062228654124,0.0760031889449907,43393.0,1183.0
56121,Philadelphia County Pennsylvania,1275073.0542341,Census Tract 389,42101038900,7.35627181064524,3.55617356052886,794418.518497243,3346,PA,0.901972504482965,0.0059772863120143,0.0836820083682008,0.0140466228332337,0.0382546323968918,0.514342629482072,0.752988047808765,0.131201434548715,21630.0,841.0
56122,Philadelphia County Pennsylvania,2024654.17208514,Census Tract 390,42101039000,10.790737603347,4.47003374672132,2004718.99000842,7946,PA,0.62257739743267,0.0234080040271835,0.134029700478228,0.260885980367481,0.0713566574377045,0.598393574297189,0.659049023221526,0.0264283916435943,20477.0,914.0
56123,Philadelphia County Pennsylvania,10430752.05671,Census Tract 9800,42101980000,7.26649085247071,3.96412084877382,4519293.6428462,1217,PA,0.142974527526705,0.152013147082991,0.594905505341003,0.0624486442070666,0.0772391125718981,0.215277777777778,1.0,0.0246507806080526,8056.0,1542.0
56124,Philadelphia County Pennsylvania,5724054.83551247,Census Tract 9801,42101980100,3.91276851388194,2.47028368107717,1796513.10296415,61,PA,0.0,0.0,0.934426229508197,0.0655737704918033,0.0655737704918033,0.352941176470588,,0.262295081967213,51339.0,1063.0
56125,Philadelphia County Pennsylvania,5488196.81926671,Census Tract 9802,42101980200,7.3544744757064,3.88918266729369,1498059.68962163,354,PA,0.251412429378531,0.0,0.700564971751412,0.0,0.0,0.709090909090909,0.0,0.519774011299435,15225.0,1875.0
56126,Philadelphia County Pennsylvania,7599781.99537581,Census Tract 9803,42101980300,10.5147540935775,3.58160475286595,6804693.90435241,0,PA,,,,,,,,,,
56127,Philadelphia County Pennsylvania,2935022.22053436,Census Tract 9804,42101980400,7.67338765265014,3.45268262935918,2864937.47729971,0,PA,,,,,,,,,,
56128,Philadelphia County Pennsylvania,417343.003838194,Census Tract 9805,42101980500,11.7328677438659,4.21335080789947,417722.243278952,0,PA,,,,,,,,,,
56129,Philadelphia County Pennsylvania,1245589.13473227,Census Tract 9806,42101980600,10.2181797039657,4.010743113932,1240286.41867341,0,PA,,,,,,,,,,
56130,Philadelphia County Pennsylvania,7661899.39446783,Census Tract 9807,42101980700,10.5225303048284,3.08257696856778,6329492.70555875,0,PA,,,,,,,,,,
56131,Philadelphia County Pennsylvania,2160249.77870367,Census Tract 9808,42101980800,5.95947153447851,2.97302163962818,1132385.07620443,0,PA,,,,,,,,,,
